study_id,hypothesis_id,seed,x,value,series
1,H6,1047,T1,0.9870582818984985,bias
1,H6,1047,T2,0.9888412356376648,bias
1,H5,1048,0,0.9937358498573303,bias_score
1,H5,1048,0.2,0.9936403036117554,bias_score
1,H5,1048,0.4,0.9904829859733582,bias_score
1,H5,1048,0.6,0.9908206462860107,bias_score
1,H5,1048,0.8,0.9954833984375,bias_score
1,H5,1048,1.0,0.9924318194389343,bias_score
1,H6,1048,T0,0.9946187138557434,bias
1,H6,1048,T1,0.994714617729187,bias
1,H6,1048,T2,0.9932751655578613,bias
1,H5,1049,0,0.9888087511062622,bias_score
1,H5,1049,0.2,0.9852026104927063,bias_score
1,H5,1049,0.4,0.9883219003677368,bias_score
1,H5,1049,0.6,0.9864857792854309,bias_score
1,H5,1049,0.8,0.985909104347229,bias_score
1,H5,1049,1.0,0.9820070862770081,bias_score
1,H6,1049,T0,0.9881947636604309,bias
1,H6,1049,T1,0.987221360206604,bias
1,H6,1049,T2,0.9878000020980835,bias
1,H5,1050,0,0.9905282258987427,bias_score
1,H5,1050,0.2,0.9905665516853333,bias_score
1,H5,1050,0.4,0.9935517311096191,bias_score
1,H5,1050,0.6,0.9917691349983215,bias_score
1,H5,1050,0.8,0.9937896132469177,bias_score
1,H5,1050,1.0,0.9907703399658203,bias_score
1,H6,1050,T0,0.9914501905441284,bias
1,H6,1050,T1,0.9914754033088684,bias
1,H6,1050,T2,0.9917086362838745,bias
1,H5,1051,0,0.9866142868995667,bias_score
1,H5,1051,0.2,0.9877948760986328,bias_score
1,H5,1051,0.4,0.9896044731140137,bias_score
1,H5,1051,0.6,0.9880308508872986,bias_score
1,H5,1051,0.8,0.9895663857460022,bias_score
1,H5,1051,1.0,0.9896674752235413,bias_score
1,H6,1051,T0,0.9875038266181946,bias
1,H6,1051,T1,0.9879348874092102,bias
1,H6,1051,T2,0.9859854578971863,bias
1,H5,1052,0,0.9915059804916382,bias_score
1,H5,1052,0.2,0.9920075535774231,bias_score
1,H5,1052,0.4,0.9903911352157593,bias_score
1,H5,1052,0.6,0.9908795356750488,bias_score
1,H5,1052,0.8,0.9884634017944336,bias_score
1,H5,1052,1.0,0.9887303113937378,bias_score
1,H6,1052,T0,0.9907919764518738,bias
1,H6,1052,T1,0.9882005453109741,bias
1,H6,1052,T2,0.9904345273971558,bias
1,H5,1053,0,0.9897854328155518,bias_score
1,H5,1053,0.2,0.9918736219406128,bias_score
1,H5,1053,0.4,0.992392897605896,bias_score
1,H5,1053,0.6,0.9896532297134399,bias_score
1,H5,1053,0.8,0.9900993704795837,bias_score
1,H5,1053,1.0,0.9898629188537598,bias_score
1,H6,1053,T0,0.9915334582328796,bias
1,H6,1053,T1,0.9905204772949219,bias
1,H6,1053,T2,0.992625892162323,bias
1,H5,1054,0,0.9914560317993164,bias_score
1,H5,1054,0.2,0.9914726614952087,bias_score
1,H5,1054,0.4,0.9908326864242554,bias_score
1,H5,1054,0.6,0.9910560250282288,bias_score
1,H5,1054,0.8,0.9896803498268127,bias_score
1,H5,1054,1.0,0.9900296330451965,bias_score
1,H6,1054,T0,0.991340160369873,bias
1,H6,1054,T1,0.9907320141792297,bias
1,H6,1054,T2,0.9898460507392883,bias
1,H5,1055,0,0.9906460046768188,bias_score
1,H5,1055,0.2,0.9923120141029358,bias_score
1,H5,1055,0.4,0.9913058280944824,bias_score
1,H5,1055,0.6,0.9888854026794434,bias_score
1,H5,1055,0.8,0.9906124472618103,bias_score
1,H5,1055,1.0,0.9896059632301331,bias_score
1,H6,1055,T0,0.9926668405532837,bias
1,H6,1055,T1,0.988482654094696,bias
1,H6,1055,T2,0.9927973747253418,bias
1,H5,1056,0,0.9892913699150085,bias_score
1,H5,1056,0.2,0.9859773516654968,bias_score
1,H5,1056,0.4,0.9882610440254211,bias_score
1,H5,1056,0.6,0.9882625937461853,bias_score
1,H5,1056,0.8,0.9872555136680603,bias_score
1,H5,1056,1.0,0.9883970618247986,bias_score
1,H6,1056,T0,0.9872603416442871,bias
1,H6,1056,T1,0.9863157272338867,bias
1,H6,1056,T2,0.9870713949203491,bias
1,H5,1057,0,0.9948742389678955,bias_score
1,H5,1057,0.2,0.9939104318618774,bias_score
1,H5,1057,0.4,0.9951614141464233,bias_score
1,H5,1057,0.6,0.9945525527000427,bias_score
1,H5,1057,0.8,0.9921875,bias_score
1,H5,1057,1.0,0.9930742383003235,bias_score
1,H6,1057,T0,0.9944955706596375,bias
1,H6,1057,T1,0.9932560920715332,bias
1,H6,1057,T2,0.99421226978302,bias
1,H5,1058,0,0.9925691485404968,bias_score
1,H5,1058,0.2,0.99346923828125,bias_score
1,H5,1058,0.4,0.9950588345527649,bias_score
1,H5,1058,0.6,0.9949562549591064,bias_score
1,H5,1058,0.8,0.99468594789505,bias_score
1,H5,1058,1.0,0.9939530491828918,bias_score
1,H6,1058,T0,0.9943991899490356,bias
1,H6,1058,T1,0.9948689341545105,bias
1,H6,1058,T2,0.9933750033378601,bias
1,H5,1059,0,0.9911413788795471,bias_score
1,H5,1059,0.2,0.9910103678703308,bias_score
1,H5,1059,0.4,0.991508960723877,bias_score
1,H5,1059,0.6,0.9920087456703186,bias_score
